customerID,SeniorCitizen,tenure,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Charges_per_Month,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes
7590-VHVEG,False,-0.6086956521739131,Yes,No,No,No,Month-to-month,Yes,Electronic check,-0.7451701931922723,-0.4040997229916897,No,-0.7515554863425657,False,True,False,False,True,False,False,False,False,False,False,False
5575-GNVDE,False,0.10869565217391304,No,Yes,No,No,One year,No,Mailed check,-0.24655013799448008,0.1453813481071099,No,-0.2744796124099172,True,False,False,True,False,False,False,False,False,True,False,False
3668-QPYBK,False,-0.5869565217391305,Yes,No,No,No,Month-to-month,Yes,Mailed check,-0.3035878564857405,-0.38096398891966754,Yes,-0.3022717639956345,True,False,False,True,False,False,False,False,False,True,False,False
7795-CFOCW,False,0.34782608695652173,No,Yes,No,No,One year,No,Bank transfer (automatic),-0.516099356025759,0.13097691597414593,No,-0.5465160166784462,True,False,False,False,True,False,False,False,False,True,False,True
9237-HQITU,False,-0.5869565217391305,No,No,No,No,Month-to-month,Yes,Electronic check,0.006439742410303745,-0.3681108033240997,Yes,0.10110990622297254,False,False,False,True,False,False,True,False,False,False,False,False
9305-CDSKC,False,-0.45652173913043476,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5390984360625578,-0.17048199445983378,Yes,0.5969911663365359,False,False,False,True,False,True,True,False,False,False,False,False
1452-KIOVK,False,-0.15217391304347827,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.344986200551978,0.16308033240997236,No,0.3382072829188622,True,False,True,True,False,True,True,False,False,False,False,False
6713-OKOMC,False,-0.41304347826086957,No,No,No,No,Month-to-month,No,Mailed check,-0.7470101195952161,-0.3237156048014773,No,-0.7452497498885738,False,False,False,False,True,False,False,False,False,True,False,False
7892-POOKP,False,-0.021739130434782608,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.6338546458141675,0.4871135734072023,Yes,0.7124417822956547,False,True,False,True,False,True,True,False,False,False,False,True
6388-TABGU,False,0.717391304347826,Yes,No,No,No,One year,No,Bank transfer (automatic),-0.26126954921803125,0.6176842105263157,No,-0.26179898685023034,True,False,True,True,False,False,False,False,False,True,False,False
9763-GRSKD,False,-0.34782608695652173,No,No,No,No,Month-to-month,Yes,Mailed check,-0.37534498620055184,-0.23934256694367495,No,-0.46708402730953225,True,True,True,True,False,False,False,False,False,True,False,False
7469-LKBCI,False,-0.2826086956521739,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-0.9457221711131554,-0.3163582640812558,No,-0.9263542101039622,True,False,False,True,False,False,False,True,True,False,True,False
8091-TTVAX,False,0.6304347826086957,No,Yes,Yes,Yes,One year,No,Credit card (automatic),0.5519779208831648,1.2657063711911358,No,0.511446432824659,True,True,False,True,False,True,True,False,False,False,False,False
0280-XJGEX,False,0.43478260869565216,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.613615455381785,1.0751837488457987,Yes,0.6010552626855599,True,False,False,True,False,True,True,False,False,False,False,False
5129-JLPIS,False,-0.08695652173913043,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.6467341306347748,0.3807423822714682,No,0.6874877575931656,True,False,False,True,False,False,True,False,False,True,False,True
3655-SNQYZ,False,0.8695652173913043,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.7893284268629257,1.9199039704524468,No,0.8169494189119276,False,True,True,True,False,True,True,False,False,True,False,True
8191-XWSZG,False,0.5,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-0.9144434222631095,-0.11066297322252996,No,-0.9403174217653756,False,False,False,True,False,False,False,True,True,False,True,False
9959-WOFKT,False,0.9130434782608695,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.6688132474701014,1.768354570637119,No,0.6231943224277157,True,False,True,True,False,True,True,False,False,True,False,False
4190-MFLUW,False,-0.41304347826086957,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.27874885004599803,-0.2568051708217913,Yes,-0.32526915576901716,False,True,True,True,False,False,False,False,False,False,False,True
4183-MYFRB,False,-0.17391304347826086,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,0.3624655013799449,0.13752169898430291,No,0.3400699399819208,False,False,False,True,False,False,True,False,False,False,False,False
8779-QRDMV,True,-0.6086956521739131,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,-0.5648574057037719,-0.40120406278855025,Yes,-0.56980190619809,True,False,False,False,True,False,False,False,False,False,False,False
1680-VDCWW,False,-0.3695652173913043,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-0.9300827966881325,-0.3531597414589104,No,-0.9925798981072851,True,True,False,True,False,False,False,True,True,False,True,False
